"Find our more about our company on these pages.OverviewContactCorporate GovernanceExecutive BoardSupervisory BoardPrinciples and DeclarationsArticles of IncorporationAnti-Corruption Hotline / OmbudspersonBrandOur BrandPersonalityPositioningThe Future in MotionOur LogoHistoryOur Milestones150 Years of ContinentalFor SuppliersCorporate PurchasingSupplier InformationErgonomics RequirementsContinental MagazineCountry WebsitesInternationalAmericaAsiaEuropeUnited States of AmericaMexicoBackChinaJapanSouth KoreaBackCzech RepublicFranceGermanyHungaryRomaniaBackBackPressCareersInvestorsSustainabilityProducts & InnovationCompanySelect CountrySelect LanguagePressPress ReleasesFairs & EventsMedia LibraryStudies & PublicationsPress ReleasesCorporate TopicsProducts & TechnologiesVehicle TypesFairs & EventsQuarterly PublicationsFairsEventsMedia LibraryPicturesVideosFootageStudies & PublicationsTechnology DossiersContinental Mobility StudiesOther PublicationsFigures | Data | FactsContinental Mobility StudiesStudy ""The Connected Truck""Mobility Study 2015Mobility Study 2016The Mobility Study 2018Mobility Study 2020 | From Driver to PassengerThe Mobility Study 2018The 2018 Mobility StudyPress Pictures and ChartsPress ContactsMobility Study 2020 | From Driver to PassengerDrivers hold on to the steering wheel – and have expectations for the existing technologyThe benefits of autonomous driving are increasingly being seen – but there are also still reservationsAssistance systems: The clearer the benefits, the higher the acceptanceData is willingly shared when there is a clear benefitOther Publications20220926 Continental informsContinental Informs – Cyberattack AvertedTiny House ContiHomeCareersWorking at ContinentalCareer EntryJobs & ApplicationInformation and ContactWorking at ContinentalFields of WorkPeople@Continental BlogWhat we OfferYour DevelopmentFields of WorkSoftware EngineeringFields of WorkSoftware EngineeringMake it your jobFields of WorkBusiness ConsultingBusiness ITManufacturing / ProductionMaterial DevelopmentQuality ManagementSoftware DevelopmentSystem EngineeringWhat we OfferAwardsYour DevelopmentYour Start at ContinentalLeadershipLearningVarious Career Paths“Mr"|['41']
This information might be about you, your preferences or your device and is mostly used to make the site work as you expect it to|['13']
Austria|['40']
__cfduid|['0']
Two weeks|['1']
Purpose|['37']
Automotive|['41']
Platforms|['41']
When transferring data across borders, we take measures to comply with applicable data protection laws related to such transfer|['9']
__cfduid|['0']
We do not sell any Personal Data of End Customers, Representatives, Visitors or End Users, including those aged between 13 to 16.c|['13']
For more information see here.a|['41']
These cookies will usually be deleted when you log out|['14']
Meet Our Relations Managers|['41']
Restricted Businesses|['41']
PHP Serialized State Data Cookie|['37']
Description|['39']
Center for Innovation|['41']
comment_author_{HASH}|['0']
This cookie is set by SAML auth path method to associate a token with the client.|['2']
Contentsquare|['3']
The “mf_[session]” cookie will be cleared as soon as you empty your browser cache or leave our website.|['0', '1']
__utmc|['0']
They may be set by us or by third party providers whose services we have added to our pages|['14']
Cookies allow us to understand who has seen which web pages and advertisements, to determine how frequently particular pages are visited and to determine the most popular areas of our website|['8']
Investors|['41']
In addition, we limit access to your personal data to those employees, agents, contractors and other third parties who have a business need to know|['34']
Google|['3']
Contractual and Pre-Contractual Business Relationships|['24']
Liechtenstein|['40']
XSRF-TOKEN|['0']
120 minutes|['1']
Google|['5']
CONSENT|['0']
In the event of an onward transfer of personal information subject to the Principles, 99designs shall remain liable under the Principles if its agent or data processor processes such personal information in a manner inconsistent with the Principles, unless 99designs shows that it is not responsible for the event giving rise to the damage|['9', '30']
Google Analytics - Sets visitor session (used together with _utmc)|['2']
__utmb cookies exists|['37']
United States|['40']
Once we receive and confirm a verifiable consumer request (see below), we will delete (and direct our service providers to delete) relevant personal information from our records, unless an exception applies.We may deny California residents’ deletion request if retaining the information is necessary for us or our service provider(s) to:complete the transaction for which we collected the personal information, provide a good or service that you requested, take actions reasonably anticipated within the context of our ongoing business relationship with the requesting individual, or otherwise perform our contract with a requesting individual.detect security incidents, protect against malicious, deceptive, fraudulent, or illegal activity, or prosecute those responsible for such activities.debug products to identify and repair errors that impair existing intended functionality.exercise free speech, ensure the right of another to exercise their free speech rights, or exercise another right provided for by law.enable solely internal uses that are reasonably aligned with consumer expectations.comply with a legal obligation.make other internal and lawful uses of that information that are compatible with the context in which you provided it.Verifiable consumer requestTo exercise the access, data portability, and deletion rights under the CCPA described above, please submit to us a verifiable consumer request to privacy@ably.com.Only a California resident, or a person registered with the California Secretary of State that a California resident has authorized to act on their behalf, may make a verifiable consumer request related to their personal information|['11', '13', '35']
Equal Opportunities Programs|['41']
Default expiration time|['39']
_lfa|['0']
For example, they may provide a card product that enables you to purchase goods and services|['13', '30', '29']
Google|['3']
at_check|['0']
rk4xqiv6zdo1j2j8q127mnv|['0']
Advanced Technologies|['41']
For example, we may disclose information in response to subpoenas, court orders, and other lawful requests by regulators and law enforcement, including responding to national security or law enforcement disclosure requirements|['13']
You can get a list of our group entities by contacting us;With third parties that operate other websites and platforms and who choose to integrate our services into their websites and platforms|['28']
In addition, some third parties may collect your information when they serve you content on our Websites|['30']
visitor_id#####|['0']
We do not sell the data of End Users.More|['13']
Default expiration time|['39']
If you do not allow these cookies then some or all of these services may not function properly.|['32']
In some cases, we may request additional information in order to verify your request or where necessary to process your request|['36']
Social Icon|['41']
We do not sell personal information about California consumers, including those we have actual knowledge are younger than 16.Right of deletion:to request deletion of their personal information that we have collected about them and to have such personal information deleted (without charge), subject to certain exceptions.Right to know: with respect to the personal information we have collected about them in the prior 12 months, to require that we disclose the following to them (up to twice per year and subject to certain exemptions):categories of personal information collected;categories of sources of personal information;categories of personal information about them we have disclosed for a business purpose or sold;categories of third parties to whom we have sold or disclosed for a business purpose their personal information;the business or commercial purposes for collecting or selling personal information|['22', '35']
Required cookies|['4']
Most commonly, we will use your personal data in the following circumstances:Where we need to perform the contract we are about to enter into or have entered into with you.Where it is necessary for our legitimate interests (or those of a third party) and your interests and fundamental rights do not override those interests.Where we need to comply with a legal obligation.You have the right to withdraw consent to marketing at any time by contacting us.Copy link to clipboardPurposes for which we will use your personal dataWe will process your personal data only where there is a lawful basis to do so, specifically:where we need to perform the contract with you, including:using your information to deliver, or contact you regarding, your order|['9', '13']
While our company name has changed, we are continuing to offer the same products, including the Facebook app from Meta|['9']
How Is Your Personal Data Collected?We use different methods to collect data from and about you including as set forth above and through:Direct interactions|['15']
Media Contacts|['41']
This includes personal data you provide when you:apply for and in furtherance of the use of our products or services;request marketing to be sent to you;enter a survey|['15']
These countries may have data protection rules that are different from your country|['9']
The use of this Personal Data is subject to the Business Users’ privacy policies.Our Business Users|['30']
However, if you'd still like more information, feel free to contact us|['27']
get.enta.net|['5']
6|['24']
Session state|['2', '37']
GitHub|['3']
Speeches and Statements|['41']
LinkedIn|['3']
A cookie is a small text file that is placed on a computer or other device and is used to identify the user or device and to collect information|['8']
visitor_id48832-hash|['0']
Learn how we are strengthening the economies, industries and communities of our global partner nations.|['26']
name, address, phone number, country) helps us to confirm identities, run credit checks subject to applicable law and prevent fraud|['12']
GitHub Sponsors|['41']
Revolutionizing Hypersonic Technologies|['26']
2 years from set/update|['1']
The cookie has a lifetime of 90 days|['1']
Newsroom|['41']
_help_center_session|['0']
They can also help us to operate our website more efficiently and make your next visit easier|['8']
"This policy does not restrict or limit our collection and use of Aggregated Data that contains no personally identifying information.We do not collect any Special Categories of Personal Data about you (this includes details about your race or ethnicity, religious or philosophical beliefs, sex life, sexual orientation, political opinions, trade union membership, information about your health, and genetic and biometric data), nor do we collect any information about criminal convictions and offences.Copy link to clipboardCookie Policy and Navigational InformationWe may automatically collect Information using ""cookies,"" which are small files placed on your hard drive that may uniquely identify your browser and collect certain Information about you"|['12', '32', '8']
The cookies in this domain have a lifespan of 10 years.|['1']
__cfduid|['0']
Privacy|['41']
user_session|['0']
Unlike cookies that are set on Meta's own domains, these cookies aren’t accessible by Meta when you're on a site other than the one on which they were set, including when you are on one of our domains|['32']
This cookie is used to identify LinkedIn Members off LinkedIn for advertising.|['2']
If you choose to remove or reject cookies, this could affect certain features of our service|['8']
Our “End User Services” are those Services which Stripe directs to individuals (rather than entities) so that those individuals do business directly with Stripe|['32']
Duration: 1 year|['1']
10 years|['1']
You can find out more about our creative platform and how it works at https://support.99designs.com/hc/en-us or by contacting us using the information indicated on that page.Overview of Privacy PracticesWe think transparency is important|['25', '26']
We may provide Business Users (including card issuers and others involved in payment processing activities) that have requested our fraud Business Services with Personal Data about you (including your attempted transactions) so that they can assess the associated fraud risk with a transaction|['30', '29']
The main business activity is: Social Networking Services|['2']
__hstc|['0']
Sustainment and Global Readiness|['41']
Sustainability|['41']
Stripe Apps|['41']
Cookie|['39']
Greece|['40']
SAPISID|['0']
If you are an End Customer (e.g., a purchaser of a product at an online Business User site), please refer to the privacy policy or notice of the Business User for information regarding the Business User’s privacy practices, choices and controls, or contact the Business User directly|['30', '31']
The cookie(s) will be cleared as soon as you empty your browser cache or 1 year after your visit.|['1']
GitHub|['3']
Customization|['4']
In most cases our processing of your personal information for marketing purposes is based on our legitimate interests, although in some cases (such as where required by law or where we use or process any of your Sensitive Personal Data (as defined under the GDPR)) it may be based on your explicit consent|['9', '33']
Lastly, should a user consent, a user’s movement around www.lockheedmartin.com can be recorded|['30']
Set for interoperability with urchin.js.|['37']
AWS|['5']
Please see below for information about additional types of Personal Data that we may collect, including about online activity.How we use and share personal data of End UsersServices|['12']
24 hours|['1']
Brazil|['40']
Stripe Terminal Device EULA|['41']
We use your Personal Data collected across our Services (e.g|['12']
The information does not usually directly identify you, but it can give you a more personalized web experience|['12', '13']
Français|['40']
Write better code with AI|['41']
andtaking part in surveys.Note that we may process your personal data for more than one lawful ground depending on the specific purpose for which we are using your data|['13']
You can obtain a copy of the relevant Standard Contractual Clauses|['9']
None accepted|['7']
We require such service providers to contractually commit to protect the security and confidentiality of Personal Data they process on our behalf|['30']
Performance-related Cookies or Other Web Technologies collect information related to your use of our Websites or Services, such as web page analytics or error reports|['13']
Codespaces|['41']
Targeting and advertising cookies: These cookies track browsing habits and are used to deliver targeted (interest-based) advertising|['13']
Used to determine new sessions/visits|['2']
30 Days|['1']
_opt_utmc|['0']
Remembers the value entered into the comment form‘s name field|['2']
Cookie name associated with services from marketing automation and lead generation platform Pardot.|['2']
Capital|['41']
C4ISR|['41']
ghcc|['0']
International TransfersSome of our External Third Parties are based outside the European Economic Area (EEA) so their processing of your personal data will involve a transfer of data outside the EEA.Whenever we transfer your personal data out of the EEA, we ensure a similar degree of protection is afforded to it by ensuring at least one of the following safeguards is implemented:Subject to the points below, we will only transfer your personal data to countries that have been deemed to provide an adequate level of protection for personal data by the European Commission.Where we use certain service providers, we may use specific contracts approved by the European Commission which give personal data the same protection it has in Europe.Please contact us if you want further information on the specific mechanism used by us when transferring your personal data out of the EEA.Copy link to clipboard7|['30']
“downloadcollection_id” stores the information about your acceptance of this cookie and enables the Download Cart feature, which allows you to collect items and download them later.|['0', '2']
International data transfers7|['24']
Code review|['41']
60 days from set/update|['1']
Where applicable law requires a data transfer mechanism, we use one or more of the following: EU Standard Contractual Clauses with a data recipient outside the EEA, Switzerland or the UK, verification that the recipient has implemented Binding Corporate Rules, or other legal methods available to us under applicable law|['9']
Where our Sites allow you to post content, we will collect Personal Data that you provide in connection with the post.b|['12']
United Kingdom|['40']
name, card number, cvc, and expiration date)|['12']
“Financial Partners” are financial institutions that we partner with to offer the Services (including payment method acquirers, banks and payout providers)|['32', '30']
The cookies in this domain have a lifespan of 10 years.|['1']
3 months|['1']
6 months|['1']
They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms|['13']
Ecommerce|['41']
Session|['1']
This cookie is used for temporary application and framework state between pages like what step the user is on in a multiple step form.|['2']
24 hours|['1']
__utma|['0']
DEFrequently searchedAnnual ReportJobs at ContinentalContinental TiresSuggestionsGo directly to|['40', '41']
&  are registered trademarks of Ghost Management Group, LLC|['10']
Partner Ecosystem|['41']
This cookie is used during the App Manifest flow to maintain the state of the flow during the redirect to fetch a user session.|['2']
Products & Innovation|['41']
Microsoft|['3']
Weedmaps may track its users over time as they browse third-party sites in order to provide intelligent, customized advertising, and Weedmaps currently does not recognize Do Not Track (“DNT”) signals from web browsers, as the Internet industry is still working on DNT standards and solutions.|['12']
180 days from set/update|['1']
30 Days|['1']
pi-userid|['0']
On-Site Hiring Events|['41']
You can unsubscribe at any time|['21']
Description|['39']
when the javascript library executes and no existing|['37']
lidc|['0']
International data transfersWe are a global business|['24', '25']
When you choose to pay with Link, we will also collect your Transaction Data|['12']
Used for campaigns mapped to Google Ads  Campaign IDs.|['2']
These cookies may be set through our site by our advertising partners|['2']
Social Icon|['41']
Two weeks|['1']
If you provide your personal information to purchase a access to our service, we will use that information to process your payment and facilitate delivery.to provide, support, personalize, and develop our website, products, and services.to create, maintain, customize, and secure your account with us.to process your requests, purchases, transactions, and payments and prevent transactional fraud.to provide you with support and to respond to your inquiries, including to investigate and address your concerns and monitor and improve our responses.to deliver content and product and service offerings relevant to your interests, including targeted offers and ads through our sites, third-party sites, and via email or text message (with your consent, where required by law).to help maintain the safety, security, and integrity of our website, products and services, databases and other technology assets, and business.for testing, research, analysis, and product development.to respond to law enforcement requests and as required by applicable law, court order, or governmental regulations.as described to you when collecting your personal information or as otherwise set forth in the CCPA|['13']
This cookie validates user's choice about cookies|['2']
All collected data are analyzed anonymously|['0', '2']
private_mode_user_session|['0']
Featured|['41']
We also use cookies to combat activity that violates our policies or otherwise degrades our ability to provide the Meta Products|['13', '14']
This cookie name is associated with Google Universal Analytics|['2']
24 hours|['1']
youtube.com|['5']
Copilot|['41']
For example: We use cookies to count the number of times that an ad is shown and to calculate the cost of those ads|['14']
Newsroom|['41']
Purpose|['39']
This is a cookie pattern that appends a unique identifier for a website visitor, used for tracking purposes|['2']
Transactions|['24']
13 months|['1']
__utmz|['0']
This cookie is used for remembering that a logged in user is verified by two factor authentication.|['2']
andprovide you with support including technical support and troubleshooting for example, to reset your password.Supporting collaboration, networking, and projects: we use personal information in order to enable collaboration and networking, and connect customers with designers, including to:enable you to communicate, collaborate and share content with users you designate|['13']
articles of incorporation in your state of incorporation).We share data with parties directly authorized by a Business User to receive Personal Data (e.g|['30']
Meet Our People|['41']
More|['41']
Expiration|['39']
Below are examples of the cookies set for visitors to sites with the Jetpack plugin installed|['37']
However, in most cases it will likely be used to store language preferences, potentially to serve up content in the stored language|['2']
This is a cookie pattern that appends a unique identifier for a website visitor, used for tracking purposes|['37']
Cookies|['39']
Disabling cookies will usually affect the functionality and certain features of sites.More informationWe hope this article has clarified things for you|['19']
7o3mqaees21zz1slnbnmd49|['0']
visitor_id#####|['0']
sdsc|['0']
Technical|['4']
Cookie Subgroup|['39']
Used to determine the expiry of experiments a user has been included|['2']
You can change your cookie settings at any time by visiting our Cookie Policy or by clearing the cache in your browser.|['23']
If you choose to change your settings, you may find that certain functions and features on this website will not work as intended|['19']
You can change your preference about non-essential cookies at any time by following these instructions.|['17']
Cookies Policy|['41']
This persistent cookie is used to customize the user’s view.|['2']
Used for campaigns mapped to Google Ads Criterion IDs|['2']
loan repayment data and contact information) with institutional investors who purchase the Capital loans that we have made to the associated Business Users|['30']
a business owner)|['27']
Learn More for information about our collection and use of Personal Data.More|['41']
The “_gat[web property ID]” cookie will be cleared as soon as you empty your browser cache or 1 minute after your visit.|['0', '1']
DURATION|['39']
Hong Kong|['40']
in.|['2']
Español (España)|['40']
For more information about Foresee and its privacy policy please see https://www.foresee.com/privacy-policy/.|['38']
in-person checkout or online checkout)|['30']
Stripe Climate Contribution Terms|['41']
The registered data is used to categorize the users' interest and demographical profiles with the purpose of customizing the website content depending on the visitor.|['2']
Keep track of the user’s role|['2']
cm_session_state|['0']
Where allowed under applicable law, we rely on our legitimate business interests to process Personal Data about you|['9']
“Do Not Track” Requests|['24']
It does not contain any user identification information.|['37']
Copy link to clipboard4|['27']
_gcl_au|['0']
We may use our own and third party cookies ( “Cookies”) in connection with your use of our Websites or Services|['14']
By default it is set to expire after 2 years, although this is customisable by website owners.|['1']
Cookie Policy - Continental AG|['24']
Note that provision of this CCPA notice is not an admission on our part that Ably is a “business” within the meaning of the CCPA, and nothing in this policy may be construed as such an admission.Personal information we collectWe collect information that identifies, relates to, describes, references, is capable of being associated with, or could reasonably be linked, directly or indirectly, with a particular person (“personal information”) that falls within the following categories of personal information, and have done so within the last 12 months:CATEGORYINFORMATION COLLECTEDIdentifiersA real name, postal address, unique identifier, online identifier, Internet Protocol address, email address, and account name.Personal information categories listed in the California Customer Records statute (Cal|['12']
For example: Cookies help us route traffic between servers and understand how quickly Meta Products load for different people|['13', '14']
This cookie determines new sessions and visits and expires after 30 minutes|['1', '2']
oo|['0']
We have invested in developing and demonstrating hypersonic technology for over 30 years.|['26']
Used to distinguish users.|['2']
English|['40']
Multimedia|['41']
“mf_[session]”, “mf_user”, “_ga”, “_gat[web property ID]” and “_gid” are used to analyze user behavior on our website, in order to improve the user experience|['39']
lms_ads|['0']
These cookies don’t collect information that personally identifies you and only collect aggregated and anonymous information|['12']
_utmc|['0']
This cookie is used to identify LinkedIn Members off LinkedIn for analytics.|['2']
AddThis - Used to show updated share counts to social media as a person uses the sharing buttons|['2', '3']
orgive us feedback or contact us.Third parties or publicly available sources|['15']
This information will typically be your name and email address, together with other information needed to respond to the particular campaign or your enquiry.We also collect information about your marketing preferences including interests/marketing list assignments, record of permissions or marketing objections and website data.Additionally, when you choose to provide a testimonial, we may use your testimonial for marketing purposes|['12']
According to CloudFlare it is used to override any security restrictions based on the IP address the visitor is coming from|['2']
90 days maximum|['1']
Sustainability|['41']
They may be set by us or by third party providers whose services we have added to our pages|['37']
30 mins from set/update|['1']
lang|['0']
Thailand residents may have additional rights under applicable laws|['9']
Canada|['40']
lsid|['0']
info.cityfibre.com|['5']
Topics|['41']
Mission-Driven Transformation|['41']
Multimedia|['41']
This cookie is used to prevent showing the security interstitial to users that have visited the app recently.|['2']
We will verify your request by asking you to send it from the email address associated with your account or requiring you to provide information necessary to verify your account|['9', '36']
Request an invite|['40']
If you choose to share bank account information (including for use in Link) with us, Stripe will periodically collect and process your bank account information (e.g|['12']
Who Serves the Cookie (for example)|['39']
We do not share End User Personal Data with third parties for their marketing or advertising unless you give us or the third party permission to do so|['30']
For example, we may analyse personal information in order to identify the offers and information that may be most relevant to customers, so that we can better reach them with relevant offers and ads.Use of Personal Information|['13', '']
"Reindanz has it all in his head” Continental AmbassadorsTalent ManagementBecome an AI Talent @ Continental!International AssignmentsCareer EntryProfessionalsGraduates & StudentsPupilsGraduates & StudentseXplore Tires Graduate ProgramseXplore Tires Graduate ProgramseXplore Tires Manufacturing Controlling Graduate ProgrameXplore Tires Supply Chain Management Graduate ProgrameXplore Tires Manufacturing IT Graduate ProgrameXplore Tires Manufacturing & Engineering Graduate ProgrameXplore Tires Research & Development Graduate ProgramJobs & ApplicationOpen positions (job portal)How to ApplyHow to ApplyTips for Your ApplicationInvestorsIR NewsEventsSharesReportsPresentationsDebt and RatingServicesIR NewsIR Press ReleasesAd-hoc NewsManagers' TransactionsVoting RightsManagers' TransactionsDetailVoting RightsDetailEventsAnnual Shareholders' MeetingCapital Market Days 2020ResultsFinancial CalendarAnnual Shareholders' MeetingAnnual Shareholders' Meeting 2022Annual Shareholders' Meeting 2018Annual Shareholders' Meeting 2019Annual Shareholders' Meeting 2020Annual Shareholders' Meeting 2021Annual Shareholders' Meeting 2018Questions and answers to the Annual Shareholders' MeetingSchedule Annual Sharholders' Meeting 2018Annual Shareholders' Meeting 2019Questions and answers to the Annual Shareholders' MeetingSchedule Annual Sharholders' Meeting 2019Annual Shareholders' Meeting 2020Questions and answers related to the postponement of the Annual Shareholders' Meeting to July 14, 2020Exercise Voting RightsSchedule Annual Sharholders' Meeting 2020Questions and ObjectionsAnnual Shareholders' Meeting 2021Public BroadcastExercise Voting RightsQuestions, Video Statements and ObjectionsCapital Market Days 2020Capital Market DaysAutomotive TechnologiesAutonomous Mobility and SafetyVehicle Networking and Information (VNI)ContiTechTiresSustainability and EnvironmentPress ConferencePress ConferenceExecutive Board presentations on December 16Results9M 2022 ResultsH1 2022 ResultsQ1 2022 ResultsPreliminary Full Year Results 20219M 2021 ResultsH1 2021 ResultsQ1 2021 ResultsPreliminary Full Year Results 2020COVID-19 Business UpdateSharesShare Price PerformanceDividendShareholder StructureShare DataSustainable InvestmentsReportsFinancial ReportsFact BookFinancial Key FiguresDebt and RatingRating & Financing StrategyDebt Issuance ProgrammeBondsRating & Financing StrategyFinancing Strategy and Maturity ProfileContinental’s Credit RatingMaturity of BondsBondsBonds PerformanceWKN A2YPE5 - ISIN XS2051667181WKN A2YPAE - ISIN XS2056430874WKN A28XTQ - ISIN XS2178585423WKN A28XTR - ISIN XS2178586157WKN A28YEC - ISIN XS2193657561ServicesRegistering for Continental IR Press ReleasesQuestions to IRComparison of Key FiguresLink to Glossary online ReportSustainabilitySustainability FrameworkSustainable Corporate GovernanceEnvironmentEmployeesSocial CommitmentReporting & PrinciplesNewsSustainability FrameworkOverviewCarbon neutralityEmission-free mobility and industryCircular economyResponsible value chainOverviewCarbon neutralityCarbon neutralityNet|Zero|Now for immediate climate protectionSustainable Corporate GovernanceOrganization and ManagementStakeholder DialogRespecting Human RightsBusiness PartnerMemberships and InitiativesRatings and IndicesSustainability ReportsOrganization and ManagementCode of ConductBusiness PartnerCalifornia Transparency in Supply Chains ActSustainability in the Natural Rubber Supply ChainConflict MineralsEnvironmentEnvironmentEnvironmental StrategyKey figures on environmental protectionOrganization of Environmental ProtectionEnvironment and Energy ManagementClimate ProtectionProduct ResponsibilityEnvironmental StrategyContinental’s Environmental StrategySustainability in the Supply ChainClimate ProtectionThe Sustainable Fight against Plastic WasteProduct ResponsibilityLife Cycle AssessmentsRemanufacturingProduct ResponsibilityRecycling and recoveryEmployeesHolistic HR PolicyEmployee key figures and structureDevelopment and QualificationEmployee Diversity and Equal OpportunitiesKnowledge ManagementFlexible WorkHealth and SafetyRemuneration and Provision for RetirementOUR BASICSKnowledge ManagementDialog and KnowledgeConNextOUR BASICS LiveHealth and SafetyDemography programLuxembourg Declaration signedSocial CommitmentAspect Change project – A change in perspectiveUerê – Supporting the “Children of Light” in Brazil""Experiencing Europe""Integration into Working LifePromoting Young MINT TalentSafety First Young DriversProducts & InnovationInnovationProductsInnovationTechnologies for Future MobilityAutonomous Mobility | Automated DrivingConnectivityElectric MobilitySafety TechnologiesInfotainment in the CarAgricultureTechnologies for Future MobilityHeading into the Future with All SensesTechnologies for Future MobilityAutonomous Mobility | Automated DrivingAutomated DrivingThe Concept Vehicle BEE for Mobility in the Stress-Free City of the FutureTest Field Lower Saxony: Continental Expands Automated Driving Tests on the AutobahnThe Cruising ChauffeurValet Parking - Pull Up and Have Your Car Parked for YouUsing the senses of the CUbETransformation - New Approaches to MobilityFive Questions for Dr"|['41']
Careers|['41']
This cookie is used to provide information about how the end user uses the website and any advertising that the end user may have seen before visiting the website.|['2']
End of browser session|['1']
Pricing|['41']
app_manifest_token|['0']
Buzz: Continental supplies a host of technology and system componentsThis is how Continental contributes to the Ford Mach-EThis is how much Continental contributed to the new BMW iXOur Role in the Electric Car RevolutionContinental Makes Sustainable Mobility PossibleExtreme E: Off-road Electric Racing Series with Electric SUVs and Tire Technology from ContinentalFilling up with electricity made easy – with or without a cableClimate-Neutral DrivingTransformation - Taking Off into the FutureElectric Cars Are Not Enough: Combining Drive Technologies to Mitigate Climate Change  48 Volt Eco DriveExtreme E: Off-road Electric Racing Series with Electric SUVs and Tire Technology from ContinentalBroadcast Information EXTREME EExtreme E Link zu Reifen (en)Extreme E link zu e-formel (en)Safety TechnologiesSafety TechnologiesInfotainment in the CarInfotainment in the Car3D Experience without Special Glasses with Touch FunctionGet the best sound – even without speakersAgricultureAgricultureProductsAutomotiveTiresContiTechProduct FinderTiresConti UrbanConti EcoPlus HT3+Conti EfficientPro Gen 3+CompanyCorporate GovernanceBrandHistoryFor SuppliersContinental MagazineCorporate GovernanceExecutive BoardSupervisory BoardPrinciples and DeclarationsArticles of IncorporationAnti-Corruption Hotline / OmbudspersonExecutive BoardNikolai SetzerChristian KötzPhilip NellesDr|['41']
LinkedIn|['3']
Cookies Policy|['24']
Learn More.|['41']
This cookie is used to remember a user's language setting to ensure LinkedIn.com displays in the language selected by the user in their settings.|['2']
10961 Berlin|['1111']
Capabilities|['41']
All features|['41']
lms_analytics|['0']
Host and manage packages|['41']
Legal bases for processing data4|['24']
These jurisdictions may not have an equivalent level of data protection laws as those in your country.EU/UK individuals - If you are an individual based in or a resident of the European Union or the United Kingdom, your personal information may be processed outside of the European Union, in countries such as the United States of America, Australia, Brazil and the Philippines that are subject to different standards of data protection.We will take appropriate steps ensure that transfers of personal information are in accordance with applicable law and carefully managed to protect your privacy rights and interests and transfers are limited to countries which are recognized as providing an adequate level of legal protection or where we can be satisfied that alternative arrangement are in place to protect your privacy rights|['9']
90 Days|['1']
identity of employerPersonal information does not include: (a) publicly available information from government records|['27']
GitHub uses cookies to provide and secure our websites, as well as to analyze the usage of our websites, in order to offer you a great user experience|['12', '13']
Until user closes browser or completes authentication request|['1']
Personal Data may be stored and processed in any country where we do business, where our service providers do business or if you use an international payment method or financial partner service, the countries in which that payment method or financial partner operates|['9', '32']
INFORMATION|['39']
Remembers whether or not a user wishes to view the mobile version of a site.|['2']
_gcl_au|['0']
Google|['3']
localeuconsent|['0']
The cookie is created|['37']
This cookie is set to ensure that browsers that support SameSite cookies can check to see if a request originates from GitHub.|['2']
(iv) to secure or protect the Services, rights, privacy, safety and property of Stripe, you or others, including against other malicious or fraudulent activity and security incidents|['29']
Cyber|['41']
Products & Innovation|['41']
For example, we share certain Personal Data of Representatives (e.g|['30']
These controls vary by browser, and manufacturers may change both the settings they make available and how they work at any time|['32']
Resources|['41']
We will not identify you to Google and will not merge personal and non-personal information collected through this service|['30']
Privacy Policy|['41']
This cookie is set by SAML auth path method to associate a token with the client.|['2']
This cookie allows us to customize timestamps to your time zone.|['2']
Cookie|['37']
has been included in.|['2']
Facebook Pixel|['28']
professional services firms that we partner with to deliver Atlas)|['30']
Germany|['40']
aam_uuid|['0']
To help us protect personal data, we encourage you to use a strong password and never share your password with anyone or use the same password with other sites or accounts|['34']
Some of them allow us to identify the topics and subjects visitors find most interesting and useful, allowing us to provide content to visitors based on aggregate demographic information provided, while others enable you to easily share information on social media networks|['29']
Purpose|['39']
We may contact you by email or through other communication channels that we think you may find helpful|['33']
Advanced Manufacturing|['41']
is subject to the investigatory and enforcement authority of the U.S|['9']
Twitter|['5']
